timestamp,sog [kn],lat [deg],lon[deg],STATE
2023-07-18T12:52:02,0.0,-7.19610666667,112.704743333,P4
2023-07-18T12:55:05,0.0,-7.19608,112.704721667,P4
2023-07-18T13:01:06,0.0,-7.19608833333,112.704728333,P4
2023-07-18T13:04:02,0.0,-7.19609166667,112.704735,P4
2023-07-18T13:07:05,0.0,-7.196125,112.704721667,P4
2023-07-18T13:10:03,0.0,-7.19610333333,112.704743333,P4
2023-07-18T13:13:06,0.0,-7.196085,112.704735,P4
2023-07-18T13:15:58,0.0,-7.19614166667,112.704761667,P4
2023-07-18T13:19:05,0.0,-7.19610166667,112.704738333,P4
2023-07-18T13:21:58,0.0,-7.19610833333,112.704721667,P4
2023-07-18T13:25:05,0.0,-7.19610166667,112.704753333,P4
2023-07-18T13:28:01,0.0,-7.1961,112.70467,P4
2023-07-18T13:31:05,0.0,-7.19612,112.704733333,P4
2023-07-18T13:34:01,0.0,-7.19611333333,112.704748333,P4
2023-07-18T13:37:06,0.0,-7.196145,112.704748333,P4
2023-07-18T13:40:04,0.0,-7.19613166667,112.704735,P4
2023-07-18T13:43:08,0.0,-7.196135,112.704753333,P4
2023-07-18T13:46:02,0.0,-7.19612,112.704721667,P4
2023-07-18T13:49:07,0.0,-7.19613166667,112.704748333,P4
2023-07-18T13:52:01,0.0,-7.196115,112.704731667,P4
2023-07-18T13:55:05,0.0,-7.19612333333,112.704733333,P4
2023-07-18T13:58:01,0.0,-7.19613666667,112.704735,P4
2023-07-18T14:01:04,0.0,-7.19611833333,112.704741667,P4
2023-07-18T14:04:00,0.0,-7.19612833333,112.704748333,P4
2023-07-18T14:07:06,0.0,-7.19616,112.704738333,P4
2023-07-18T14:10:01,0.0,-7.19613,112.704765,P4
2023-07-18T14:13:08,0.0,-7.19611,112.704781667,P4
2023-07-18T14:16:00,0.0,-7.196085,112.704731667,P4
2023-07-18T14:18:59,0.0,-7.196135,112.704753333,P4
2023-07-18T14:22:01,0.0,-7.19610333333,112.704815,P4
2023-07-18T14:25:03,0.0,-7.196065,112.70478,P4
2023-07-18T14:28:02,0.0,-7.19608333333,112.70476,P4
2023-07-18T14:31:05,0.0,-7.19611,112.704728333,P4
2023-07-18T14:33:58,0.0,-7.19609666667,112.704755,P4
2023-07-18T14:36:58,0.0,-7.196115,112.70477,P4
2023-07-18T14:40:01,0.0,-7.196105,112.704778333,P4
2023-07-18T14:43:04,0.0,-7.196095,112.704778333,P4
2023-07-18T14:46:01,0.0,-7.19609666667,112.704755,P4
2023-07-18T14:49:02,0.0,-7.19611833333,112.70477,P4
2023-07-18T14:52:03,0.0,-7.196115,112.704743333,P4
2023-07-18T14:55:01,0.0,-7.19612,112.704756667,P4
2023-07-18T14:58:03,0.0,-7.19611,112.704756667,P4
2023-07-18T15:01:00,0.0,-7.19610166667,112.704788333,P4
2023-07-18T15:04:02,0.0,-7.19609833333,112.704765,P4
2023-07-18T15:07:01,0.0,-7.1961,112.704776667,P4
2023-07-18T15:10:01,0.0,-7.19610166667,112.704756667,P4
2023-07-18T15:13:01,0.0,-7.19608833333,112.704785,P4
2023-07-18T15:15:58,0.0,-7.19609166667,112.704793333,P4
2023-07-18T15:19:00,0.0,-7.19611333333,112.704766667,P4
2023-07-18T15:28:01,0.1,-7.196115,112.70475,P4
2023-07-18T15:31:01,0.0,-7.19611,112.704735,P4
2023-07-18T15:34:01,0.0,-7.19609666667,112.704766667,P4
2023-07-18T15:37:01,0.1,-7.19609166667,112.704781667,P4
2023-07-18T15:40:04,0.0,-7.19610166667,112.704778333,P4
2023-07-18T15:43:02,0.0,-7.19611,112.704783333,P4
2023-07-18T15:46:05,0.0,-7.19611166667,112.70476,P4
2023-07-18T15:48:59,0.0,-7.19610833333,112.704778333,P4
2023-07-18T15:52:07,0.0,-7.19612333333,112.704753333,P4
2023-07-18T15:55:00,0.1,-7.19612666667,112.704793333,P4
2023-07-18T15:58:05,0.0,-7.19608,112.70468,P4
2023-07-18T16:01:02,0.0,-7.19611666667,112.70473,P4
2023-07-18T16:04:06,0.0,-7.19610666667,112.70474,P4
2023-07-18T16:06:59,0.0,-7.19612166667,112.704781667,P4
2023-07-18T16:10:07,0.0,-7.19610666667,112.704781667,P4
2023-07-18T16:15:58,0.0,-7.19610166667,112.704741667,P4
2023-07-18T16:22:04,0.0,-7.19611833333,112.704768333,P4
2023-07-18T16:25:01,0.0,-7.19614,112.704793333,P4
2023-07-18T16:28:03,0.0,-7.19611166667,112.70477,P4
2023-07-18T16:34:01,0.0,-7.19608,112.704756667,P4
2023-07-18T16:40:03,0.0,-7.196105,112.704778333,P4
2023-07-18T16:43:02,0.0,-7.19610666667,112.704766667,P4
2023-07-18T16:46:03,0.0,-7.19611333333,112.704748333,P4
2023-07-18T16:49:03,0.0,-7.19611,112.70476,P4
2023-07-18T16:52:04,0.0,-7.19612,112.704778333,P4
2023-07-18T16:55:04,0.0,-7.19611333333,112.704745,P4
2023-07-18T16:57:59,0.0,-7.19612166667,112.70477,P4
2023-07-18T17:01:03,0.0,-7.19613,112.704806667,P4
2023-07-18T17:03:59,0.0,-7.196125,112.70479,P4
2023-07-18T17:07:04,0.0,-7.196115,112.704805,P4
2023-07-18T17:10:02,0.0,-7.19611666667,112.70479,P4
2023-07-18T17:16:04,0.0,-7.19610333333,112.704748333,P4
2023-07-18T17:19:04,0.0,-7.19611166667,112.704781667,P4
2023-07-18T17:22:06,0.0,-7.196115,112.704748333,P4
2023-07-18T17:25:05,0.0,-7.19610166667,112.70475,P4
2023-07-18T17:28:05,0.0,-7.19610666667,112.70478,P4
2023-07-18T17:31:07,0.0,-7.19610666667,112.704775,P4
2023-07-18T17:33:59,0.0,-7.19615,112.704796667,P4
2023-07-18T17:37:08,0.0,-7.19613333333,112.704776667,P4
2023-07-18T17:39:59,0.0,-7.19612666667,112.704778333,P4
2023-07-18T17:42:59,0.0,-7.19611333333,112.704768333,P4
2023-07-18T17:46:03,0.0,-7.19611833333,112.704785,P4
2023-07-18T17:52:03,0.0,-7.19610333333,112.704771667,P4
2023-07-18T17:55:02,0.0,-7.19609,112.704763333,P4
2023-07-18T17:58:04,0.0,-7.196105,112.704748333,P4
2023-07-18T18:01:04,0.0,-7.19611166667,112.704765,P4
2023-07-18T18:04:00,0.0,-7.19616666667,112.704783333,P4
2023-07-18T18:07:03,0.0,-7.196145,112.704771667,P4
2023-07-18T18:09:59,0.0,-7.19613166667,112.704783333,P4
2023-07-18T18:13:03,0.0,-7.19609833333,112.704746667,P4
2023-07-18T18:16:03,0.0,-7.19608,112.704753333,P4
2023-07-18T18:19:02,0.0,-7.196125,112.704741667,P4
2023-07-18T18:22:02,0.0,-7.19613666667,112.704765,P4
