timestamp;lat [deg];lon [deg];sog [kn];draught [m];heading [deg];cog [deg];rot [deg/min];zone  [UTM];band  [UTM];easting [UTM];northing [UTM];STATE
2023-09-04T23:30:41;-6.918035;112.725318333;11.5;-1;198;198.7;0;49;M;690624;9234966;P1
2023-09-04T23:30:50;-6.918445;112.725171667;11.5;-1;198;199.3;0;49;M;690608;9234921;P1
2023-09-04T23:31:00;-6.91900833333;112.72498;11.5;-1;198;199.1;0;49;M;690586;9234858;P1
2023-09-04T23:31:10;-6.91946666667;112.724823333;11.6;-1;197;199.1;0;49;M;690569;9234808;P1
2023-09-04T23:31:21;-6.92009166667;112.724606667;11.6;-1;198;198.8;0;49;M;690544;9234739;P1
2023-09-04T23:31:41;-6.92111833333;112.724256667;11.6;-1;197;198.7;0;49;M;690505;9234625;P1
2023-09-04T23:32:00;-6.92203333333;112.723951667;11.6;-1;198;198.9;0;49;M;690471;9234524;P1
2023-09-04T23:32:10;-6.922545;112.723775;11.6;-1;198;198.9;0;49;M;690452;9234468;P1
2023-09-04T23:32:21;-6.92315666667;112.72356;11.6;-1;198;199.0;0;49;M;690428;9234400;P1
2023-09-04T23:32:31;-6.923615;112.723403333;11.6;-1;198;199.2;0;49;M;690410;9234349;P1
2023-09-04T23:32:41;-6.92417166667;112.723216667;11.6;-1;198;199.1;0;49;M;690389;9234288;P1
2023-09-04T23:32:50;-6.924585;112.723073333;11.6;-1;198;199.2;0;49;M;690373;9234242;P1
2023-09-04T23:33:00;-6.92509666667;112.72289;11.6;-1;198;199.4;0;49;M;690353;9234186;P1
2023-09-04T23:33:11;-6.92566166667;112.722691667;11.6;-1;198;199.2;0;49;M;690331;9234123;P1
2023-09-04T23:33:21;-6.92622333333;112.722498333;11.6;-1;198;199.1;0;49;M;690309;9234061;P1
2023-09-04T23:33:31;-6.92673;112.722325;11.6;-1;197;199.3;0;49;M;690290;9234005;P1
2023-09-04T23:33:41;-6.92724666667;112.722148333;11.6;-1;198;198.5;0;49;M;690270;9233948;P1
2023-09-04T23:33:52;-6.92774666667;112.721975;11.5;-1;199;198.7;0;49;M;690251;9233893;P1
2023-09-04T23:34:00;-6.92814333333;112.721836667;11.5;-1;200;199.5;0;49;M;690235;9233849;P1
2023-09-04T23:34:11;-6.92869833333;112.721636667;11.5;-1;200;200.1;0;49;M;690213;9233788;P1
2023-09-04T23:34:21;-6.92926;112.721433333;11.6;-1;200;200.2;0;49;M;690190;9233726;P1
2023-09-04T23:34:31;-6.92977;112.721246667;11.6;-1;200;200.2;0;49;M;690169;9233670;P1
2023-09-04T23:34:41;-6.93028166667;112.72106;11.6;-1;199;200.1;0;49;M;690148;9233613;P1
2023-09-04T23:34:52;-6.93079333333;112.720875;11.6;-1;199;199.9;0;49;M;690128;9233557;P1
2023-09-04T23:35:00;-6.93120166667;112.720728333;11.6;-1;199;199.9;0;49;M;690111;9233511;P1
2023-09-04T23:35:11;-6.93175666667;112.720531667;11.6;-1;199;199.8;0;49;M;690089;9233450;P1
2023-09-04T23:35:21;-6.932315;112.720336667;11.6;-1;199;199.7;0;49;M;690068;9233388;P1
2023-09-04T23:35:31;-6.93282666667;112.720163333;11.6;-1;200;199.4;0;49;M;690048;9233332;P1
2023-09-04T23:35:41;-6.93334166667;112.719983333;11.6;-1;200;199.4;0;49;M;690028;9233275;P1
2023-09-04T23:35:52;-6.93385666667;112.719798333;11.6;-1;200;199.5;0;49;M;690008;9233218;P1
2023-09-04T23:36:00;-6.93426666667;112.719653333;11.6;-1;200;199.5;0;49;M;689991;9233173;P1
2023-09-04T23:36:11;-6.93482833333;112.719453333;11.6;-1;200;199.6;0;49;M;689969;9233111;P1
2023-09-04T23:36:21;-6.93538666667;112.719253333;11.5;-1;200;199.7;0;49;M;689947;9233049;P1
2023-09-04T23:36:30;-6.935845;112.71909;11.5;-1;200;199.8;0;49;M;689928;9232999;P1
2023-09-04T23:36:41;-6.936405;112.718885;11.5;-1;200;199.7;0;49;M;689906;9232937;P1
2023-09-04T23:36:51;-6.93691666667;112.718698333;11.5;-1;200;199.7;0;49;M;689885;9232880;P1
2023-09-04T23:37:00;-6.937325;112.718555;11.6;-1;200;199.6;0;49;M;689869;9232835;P1
2023-09-04T23:37:11;-6.937935;112.718335;11.6;-1;199;199.5;0;49;M;689844;9232768;P1
2023-09-04T23:37:21;-6.93844166667;112.718156667;11.6;-1;199;199.3;0;49;M;689824;9232712;P1
2023-09-04T23:37:30;-6.93889833333;112.717998333;11.5;-1;200;199.4;0;49;M;689807;9232661;P1
2023-09-04T23:37:41;-6.93945833333;112.717803333;11.5;-1;199;199.5;0;49;M;689785;9232599;P1
2023-09-04T23:37:51;-6.93996166667;112.717623333;11.6;-1;199;199.4;0;49;M;689765;9232544;P1
2023-09-04T23:38:00;-6.940365;112.71748;11.6;-1;200;199.4;0;49;M;689749;9232499;P1
2023-09-04T23:38:11;-6.94098;112.717261667;11.6;-1;200;199.5;0;49;M;689724;9232431;P1
2023-09-04T23:38:21;-6.94149166667;112.717085;11.6;-1;200;199.2;0;49;M;689705;9232375;P1
2023-09-04T23:38:30;-6.94195166667;112.716926667;11.6;-1;201;199.2;0;49;M;689687;9232324;P1
2023-09-04T23:38:51;-6.94301;112.716525;11.6;-1;201;200.6;0;49;M;689642;9232207;P1
2023-09-04T23:39:00;-6.94341333333;112.716366667;11.6;-1;201;200.8;0;49;M;689624;9232163;P1
2023-09-04T23:39:11;-6.94402166667;112.716131667;11.7;-1;201;200.9;0;49;M;689598;9232095;P1
2023-09-04T23:39:20;-6.94443;112.715978333;11.7;-1;201;200.5;0;49;M;689581;9232050;P1
2023-09-04T23:39:30;-6.94499166667;112.715766667;11.7;-1;202;200.6;0;49;M;689557;9231988;P1
2023-09-04T23:39:51;-6.94607;112.71536;11.7;-1;201;200.7;0;49;M;689512;9231869;P1
2023-09-04T23:40:00;-6.94648333333;112.715208333;11.7;-1;202;200.3;0;49;M;689495;9231824;P1
2023-09-04T23:40:20;-6.94751333333;112.714823333;11.8;-1;202;200.5;0;49;M;689452;9231710;P1
2023-09-04T23:40:40;-6.94855666667;112.714436667;11.8;-1;202;200.4;0;49;M;689409;9231595;P1
2023-09-04T23:40:51;-6.94918;112.714206667;11.8;-1;202;200.3;0;49;M;689383;9231526;P1
2023-09-04T23:41:00;-6.94959166667;112.714048333;11.8;-1;202;200.8;0;49;M;689366;9231480;P1
2023-09-04T23:41:10;-6.95011333333;112.713853333;11.8;-1;202;200.7;0;49;M;689344;9231423;P1
2023-09-04T23:41:20;-6.95062833333;112.713656667;11.8;-1;202;200.8;0;49;M;689322;9231366;P1
2023-09-04T23:41:30;-6.951195;112.71344;11.8;-1;202;201.0;0;49;M;689298;9231303;P1
2023-09-04T23:41:40;-6.95166166667;112.713261667;11.8;-1;202;200.9;0;49;M;689278;9231252;P1
2023-09-04T23:41:51;-6.952275;112.713021667;11.8;-1;200;201.7;0;49;M;689251;9231184;P1
2023-09-04T23:42:00;-6.95268166667;112.712868333;11.8;-1;200;200.9;0;49;M;689234;9231139;P1
2023-09-04T23:42:10;-6.95319833333;112.712683333;11.7;-1;199;200.1;0;49;M;689213;9231082;P1
2023-09-04T23:42:20;-6.95370833333;112.712503333;11.7;-1;200;199.3;0;49;M;689193;9231026;P1
2023-09-04T23:42:40;-6.95472833333;112.712141667;11.7;-1;199;199.3;0;49;M;689153;9230913;P1
2023-09-04T23:43:00;-6.95575;112.711788333;11.6;-1;200;199.1;0;49;M;689114;9230800;P1
