MMSI;NAMA KAPAL;GT;LOA;TYPE;TRIP KE;Total Labuh;Total Pandu;PNBP Pandu;Total Tunda 1;PNBP Tunda 1;Total Tunda 2;PNBP Tunda 2;P1_duration;P2_duration;P3_duration;Total Tambat
525125030;MERATUS SAMPIT;7542;123;1;1;11448756;10241712.0;512085.60000000003;17940195.0;85754132.10000001;17150826.42;85754132.10000001;2.50;16.38;2.39;10519257.294
525301996;PEKAN SAMPIT;4048;97.54;0;1;364320;814320;40716.0;3565236.8400000003;15957310.049999999;3191462.01;15957310.049999999;3.72;19.95;3.33;390328.39999999997
538002485;MV CAPE FLORES;14308;154.5;1;1;21719544;16574688.0;828734.4;33291825.84;144556612.20000002;28911322.44;144556612.20000002;2.28;6.46;1.98;7870387.252
538002485;MV CAPE FLORES;14308;154.5;1;2;21719544;16574688.0;828734.4;41760799.08;0.0;0.0;0.0;2.86;0.00;0.00;0.0
538004184;MV. BLACK PEARL;43445;229;1;1;65949510;43846920.0;2192346.0;88434466.38;192847745.99999997;38569549.199999996;192847745.99999997;3.21;34.40;1.40;127257356.2
538007482;MV. HYUNDAI FORWARD;52581;294.12;1;1;79817958;52398215.99999999;2619910.8;59231807.699999996;267231876.6;53446375.32;267231876.6;2.15;17.59;1.94;78755217.1185
538010745;MV SAWASDEE DENEB;18072;172.07;1;1;27433296;20097792.0;1004889.6000000001;52346286.720000006;200972350.79999998;40194470.16;200972350.79999998;2.24;16.95;1.72;26083182.06
636013698;MV. YM EFFICIENCY;42741;268.8;1;1;64880838;43187976.0;2159398.8000000003;73833137.04;249324585.9;49864917.18;249324585.9;2.68;24.80;1.81;90257024.52000001
636014812;MV. IZABELLA M;43753;229;1;1;66417054;44135208.0;2206760.4;69976182.12;276874263.9;55374852.779999994;276874263.9;2.54;47.40;2.01;176591920.82999998
636017038;MV. SPECTRUM N;26435;208.91;1;1;40128330;27925560.0;1396278.0;85129465.2;416883998.70000005;83376799.74000001;416883998.70000005;3.40;16.47;3.33;37072985.9175
636021215;MV. TAHO VIRTUE;46815;228.41;1;1;71065170;47001240.0;2350062.0;89536453.5;239682198.6;47936439.72;239682198.6;3.25;65.23;1.74;260026169.61750007
636021625;MV. ETG AQUARIUS;44140;233;1;1;67004520;44497440.0;2224872.0;90638440.62;268609360.5;53721872.1;268609360.5;3.29;76.49;1.95;287489271.29
