timestamp;lat [deg];lon [deg];sog [kn];draught [m];heading [deg];cog [deg];STATE;GERAKAN
2023-09-04T07:55:40;-7.185285;112.6860017;0;-1;306;129.5;P2;
2023-09-04T07:58:43;-7.185278333;112.685985;0;-1;306;129.5;P2;
2023-09-04T08:01:43;-7.185288333;112.6859533;0;-1;306;129.5;P2;
2023-09-04T08:04:45;-7.185293333;112.6859683;0;-1;306;129.5;P2;
2023-09-04T08:07:42;-7.185286667;112.68601;0;-1;306;129.5;P2;
2023-09-04T08:10:46;-7.185268333;112.68602;0;-1;306;129.5;P2;
2023-09-04T08:16:44;-7.185278333;112.6860033;0;-1;306;129.5;P2;
2023-09-04T08:19:43;-7.185265;112.6859767;0;-1;305;129.5;P2;
2023-09-04T08:22:44;-7.1853;112.6859917;0;-1;305;129.5;P2;
2023-09-04T08:25:44;-7.1853;112.6860217;0;-1;305;129.5;P2;
2023-09-04T08:28:46;-7.185281667;112.6860133;0;-1;304;129.5;P2;
2023-09-04T08:31:43;-7.185283333;112.685975;0;-1;304;129.5;P2;
2023-09-04T08:34:46;-7.185265;112.6859717;0;-1;304;129.5;P2;
2023-09-04T08:37:41;-7.185295;112.6859767;0;-1;305;129.5;P2;
2023-09-04T08:40:46;-7.185288333;112.6859833;0;-1;305;129.5;P2;
2023-09-04T08:43:40;-7.18529;112.685985;0;-1;305;129.5;P2;
2023-09-04T08:46:45;-7.185278333;112.6859983;0;-1;306;129.5;P2;
2023-09-04T08:49:44;-7.185291667;112.6859867;0;-1;306;129.5;P2;
2023-09-04T08:52:38;-7.185283333;112.6859717;0;-1;306;129.5;P2;
2023-09-04T08:55:43;-7.18529;112.6859733;0;-1;306;129.5;P2;
2023-09-04T08:58:41;-7.185266667;112.6859717;0;-1;306;129.5;P2;
2023-09-04T09:01:44;-7.185286667;112.685985;0;-1;306;129.5;P2;
2023-09-04T09:04:38;-7.185283333;112.685995;0;-1;306;129.5;P2;
2023-09-04T09:10:42;-7.185286667;112.685985;0;-1;305;129.5;P2;
2023-09-04T09:13:38;-7.185283333;112.685945;0;-1;305;129.5;P2;
2023-09-04T09:19:41;-7.185318333;112.6859833;0;-1;304;129.5;P2;
2023-09-04T09:22:40;-7.185293333;112.6859867;0;-1;304;129.5;P2;
2023-09-04T09:25:44;-7.185263333;112.6859617;0;-1;304;129.5;P2;
2023-09-04T09:28:42;-7.185291667;112.6859683;0;-1;304;129.5;P2;
2023-09-04T09:31:44;-7.185263333;112.6859433;0;-1;305;129.5;P2;
2023-09-04T09:34:39;-7.185265;112.6859533;0;-1;305;129.5;P2;
2023-09-04T09:40:39;-7.185306667;112.6860333;0;-1;305;129.5;P2;
2023-09-04T09:43:43;-7.185281667;112.6860067;0;-1;306;129.5;P2;
2023-09-04T09:46:43;-7.185286667;112.6860067;0;-1;306;129.5;P2;
2023-09-04T09:49:38;-7.185295;112.6859867;0;-1;306;129.5;P2;
2023-09-04T09:52:42;-7.185296667;112.6860033;0;-1;306;129.5;P2;
2023-09-04T09:55:40;-7.185271667;112.6859733;0;-1;306;129.5;P2;
2023-09-04T09:58:43;-7.185298333;112.6860033;0;-1;306;129.5;P2;
2023-09-04T10:01:42;-7.185306667;112.6860433;0;-1;306;129.5;P2;
2023-09-04T10:04:42;-7.18528;112.6859917;0;-1;306;129.5;P2;
2023-09-04T10:07:42;-7.185263333;112.6859317;0;-1;305;129.5;P2;
2023-09-04T10:10:42;-7.185293333;112.6859917;0;-1;305;129.5;P2;
2023-09-04T10:13:41;-7.185311667;112.68602;0;-1;305;129.5;P2;
2023-09-04T10:16:39;-7.185295;112.6859983;0;-1;305;129.5;P2;
2023-09-04T10:19:43;-7.185283333;112.68598;0;-1;305;129.5;P2;
2023-09-04T10:22:41;-7.185286667;112.6860283;0;-1;305;129.5;P2;
2023-09-04T10:25:42;-7.1853;112.68604;0;-1;305;129.5;P2;
2023-09-04T10:28:43;-7.185291667;112.6860317;0;-1;305;129.5;P2;
2023-09-04T10:31:42;-7.185293333;112.6860167;0;-1;305;129.5;P2;
2023-09-04T10:34:43;-7.185298333;112.6860033;0;-1;306;129.5;P2;
2023-09-04T10:37:40;-7.185273333;112.6860033;0;-1;306;129.5;P2;
2023-09-04T10:40:44;-7.185275;112.6859967;0;-1;306;129.5;P2;
2023-09-04T10:43:43;-7.185278333;112.6860033;0;-1;306;129.5;P2;
2023-09-04T10:46:39;-7.185286667;112.6860017;0;-1;306;129.5;P2;
2023-09-04T10:49:43;-7.185281667;112.68601;0;-1;306;129.5;P2;
2023-09-04T10:52:39;-7.185305;112.686025;0;-1;305;129.5;P2;
2023-09-04T10:55:43;-7.185298333;112.6860217;0;-1;305;129.5;P2;
2023-09-04T11:01:43;-7.185288333;112.6860067;0;-1;305;129.5;P2;
2023-09-04T11:04:42;-7.185291667;112.68601;0;-1;305;129.5;P2;
2023-09-04T11:07:42;-7.185293333;112.6860217;0;-1;305;129.5;P2;
2023-09-04T11:10:43;-7.185306667;112.6860433;0;-1;305;129.5;P2;
2023-09-04T11:13:44;-7.185275;112.6860133;0;-1;305;129.5;P2;
2023-09-04T11:16:44;-7.185281667;112.68601;0;-1;305;129.5;P2;
2023-09-04T11:19:44;-7.185306667;112.6859817;0;-1;305;129.5;P2;
2023-09-04T11:22:45;-7.185293333;112.6859917;0;-1;305;129.5;P2;
2023-09-04T11:28:45;-7.18529;112.686;0;-1;306;129.5;P2;
2023-09-04T11:31:42;-7.185275;112.6860017;0;-1;306;129.5;P2;
2023-09-04T11:34:43;-7.18529;112.685965;0;-1;306;129.5;P2;
2023-09-04T11:37:41;-7.185296667;112.6859683;0;-1;306;129.5;P2;
2023-09-04T11:40:42;-7.185323333;112.6860133;0;-1;306;129.5;P2;
2023-09-04T11:43:44;-7.1853;112.686005;0;-1;306;129.5;P2;
2023-09-04T11:46:41;-7.185305;112.6859983;0;-1;306;129.5;P2;
2023-09-04T11:49:45;-7.185293333;112.686;0;-1;306;129.5;P2;
2023-09-04T11:52:39;-7.185298333;112.6859917;0;-1;306;129.5;P2;
2023-09-04T11:55:47;-7.185306667;112.6860033;0;-1;305;129.5;P2;
2023-09-04T12:01:47;-7.185278333;112.68601;0;-1;305;129.5;P2;
2023-09-04T12:04:42;-7.185293333;112.6860117;0;-1;305;129.5;P2;
2023-09-04T12:07:48;-7.185275;112.68598;0;-1;305;129.5;P2;
2023-09-04T12:10:43;-7.185283333;112.6860017;0;-1;305;129.5;P2;
2023-09-04T12:13:46;-7.18531;112.6860083;0;-1;305;129.5;P2;
2023-09-04T12:16:44;-7.185305;112.6859867;0;-1;305;129.5;P2;
2023-09-04T12:19:46;-7.185303333;112.6860117;0;-1;305;129.5;P2;
2023-09-04T12:22:42;-7.18528;112.6859983;0;-1;305;129.5;P2;
2023-09-04T12:25:40;-7.185301667;112.68598;0;-1;305;129.5;P2;
2023-09-04T12:31:44;-7.185295;112.6859567;0;-1;306;129.5;P2;
2023-09-04T12:34:44;-7.185276667;112.68595;0;-1;306;129.5;P2;
2023-09-04T12:37:45;-7.18529;112.685955;0;-1;306;129.5;P2;
2023-09-04T12:40:44;-7.185311667;112.6859567;0;-1;306;129.5;P2;
2023-09-04T12:43:46;-7.185218333;112.6859067;0;-1;305;129.5;P2;
2023-09-04T12:46:46;-7.185278333;112.6859683;0;-1;305;129.5;P2;
2023-09-04T12:49:40;-7.185306667;112.6860033;0;-1;305;129.5;P2;
2023-09-04T12:52:47;-7.185301667;112.68598;0;-1;305;129.5;P2;
2023-09-04T12:55:42;-7.18533;112.6860217;0;-1;305;129.5;P2;
2023-09-04T12:58:39;-7.185286667;112.685995;0;-1;305;129.5;P2;
2023-09-04T13:01:44;-7.185298333;112.6859867;0;-1;305;129.5;P2;
2023-09-04T13:10:41;-7.185295;112.6860517;0;-1;305;129.5;P2;
2023-09-04T13:13:43;-7.185315;112.686015;0;-1;305;129.5;P2;
2023-09-04T13:22:41;-7.185308333;112.68604;0;-1;305;129.5;P2;
2023-09-04T13:25:43;-7.18532;112.6860383;0;-1;305;129.5;P2;
2023-09-04T13:28:42;-7.185313333;112.686045;0;-1;305;129.5;P2;
2023-09-04T13:31:42;-7.185325;112.6859983;0;-1;305;129.5;P2;
2023-09-04T13:34:42;-7.18532;112.6859917;0;-1;305;129.5;P2;
2023-09-04T13:37:43;-7.185318333;112.6859833;0;-1;305;129.5;P2;
2023-09-04T13:40:43;-7.185298333;112.6859767;0;-1;305;129.5;P2;
2023-09-04T13:46:43;-7.185323333;112.6859517;0;-1;305;129.5;P2;
2023-09-04T13:49:44;-7.185305;112.685955;0;-1;305;129.5;P2;
2023-09-04T13:55:44;-7.185328333;112.6860167;0;-1;306;129.5;P2;
2023-09-04T14:01:45;-7.185288333;112.6860033;0;-1;306;129.5;P2;
2023-09-04T14:04:44;-7.185316667;112.6860333;0;-1;306;129.5;P2;
2023-09-04T14:07:47;-7.185296667;112.6859983;0;-1;306;129.5;P2;
2023-09-04T14:10:43;-7.185298333;112.6859933;0;-1;305;129.5;P2;
2023-09-04T14:13:48;-7.185273333;112.6859733;0;-1;305;129.5;P2;
2023-09-04T14:16:44;-7.185285;112.68598;0;-1;305;129.5;P2;
2023-09-04T14:19:39;-7.185293333;112.6859867;0;-1;305;129.5;P2;
2023-09-04T14:25:45;-7.185335;112.68605;0;-1;305;129.5;P2;
2023-09-04T14:28:40;-7.18532;112.6860133;0;-1;305;129.5;P2;
2023-09-04T14:31:43;-7.185311667;112.6860133;0;-1;305;129.5;P2;
2023-09-04T14:34:40;-7.185325;112.68602;0;-1;306;129.5;P2;
2023-09-04T14:37:43;-7.185305;112.6860217;0;-1;306;129.5;P2;
2023-09-04T14:40:43;-7.185343333;112.68604;0;-1;306;129.5;P2;
2023-09-04T14:43:43;-7.185313333;112.6859983;0;-1;307;129.5;P2;
2023-09-04T14:46:43;-7.185326667;112.686035;0;-1;307;129.5;P2;
2023-09-04T14:49:44;-7.185308333;112.6860167;0;-1;306;129.5;P2;
2023-09-04T14:52:44;-7.185341667;112.68604;0;-1;306;129.5;P2;
2023-09-04T14:55:46;-7.185311667;112.6860283;0;-1;306;129.5;P2;
2023-09-04T14:58:45;-7.185326667;112.686035;0;-1;305;129.5;P2;
2023-09-04T15:01:45;-7.185321667;112.68604;0;-1;305;129.5;P2;
2023-09-04T15:04:47;-7.185293333;112.685985;0;-1;304;129.5;P2;
2023-09-04T15:07:44;-7.185316667;112.6859667;0;-1;304;129.5;P2;
2023-09-04T15:10:40;-7.185293333;112.6859983;0;-1;304;129.5;P2;
2023-09-04T15:13:43;-7.185313333;112.6860133;0;-1;304;129.5;P2;
2023-09-04T15:16:45;-7.18529;112.6860033;0;-1;304;129.5;P2;
2023-09-04T15:19:45;-7.185323333;112.6860183;0;-1;305;129.5;P2;
2023-09-04T15:22:46;-7.185296667;112.6860283;0;-1;305;129.5;P2;
2023-09-04T15:25:46;-7.185298333;112.6860217;0;-1;305;129.5;P2;
2023-09-04T15:28:44;-7.185306667;112.6860167;0;-1;306;129.5;P2;
2023-09-04T15:31:47;-7.185328333;112.6860517;0;-1;306;129.5;P2;
2023-09-04T15:34:46;-7.185311667;112.6860117;0;-1;306;129.5;P2;
2023-09-04T15:43:46;-7.185315;112.6860333;0;-1;306;129.5;P2;
2023-09-04T15:46:45;-7.185308333;112.6860467;0;-1;306;129.5;P2;
2023-09-04T15:49:47;-7.185311667;112.6860383;0;-1;306;129.5;P2;
2023-09-04T15:52:45;-7.185318333;112.6860467;0;-1;305;129.5;P2;
2023-09-04T15:55:40;-7.185303333;112.6860283;0;-1;305;129.5;P2;
2023-09-04T16:01:44;-7.185276667;112.6860283;0;-1;305;129.5;P2;
2023-09-04T16:04:43;-7.185261667;112.6859767;0;-1;304;129.5;P2;
2023-09-04T16:07:43;-7.185303333;112.6860283;0;-1;304;129.5;P2;
2023-09-04T16:10:45;-7.185293333;112.686015;0;-1;304;129.5;P2;
2023-09-04T16:13:45;-7.185321667;112.6860667;0;-1;305;129.5;P2;
2023-09-04T16:16:45;-7.185293333;112.686045;0;-1;305;129.5;P2;
2023-09-04T16:19:45;-7.185308333;112.686015;0;-1;305;129.5;P2;
2023-09-04T16:22:44;-7.185318333;112.686025;0;-1;305;129.5;P2;
2023-09-04T16:25:43;-7.18536;112.6860367;0;-1;306;129.5;P2;
2023-09-04T16:28:43;-7.185306667;112.6860467;0;-1;306;129.5;P2;
2023-09-04T16:31:40;-7.185328333;112.6860583;0;-1;306;129.5;P2;
2023-09-04T16:34:45;-7.185316667;112.6860467;0;-1;306;129.5;P2;
2023-09-04T16:40:45;-7.185311667;112.6860483;0;-1;306;129.5;P2;
2023-09-04T16:43:43;-7.185306667;112.6860517;0;-1;306;129.5;P2;
2023-09-04T16:46:47;-7.185301667;112.6860333;0;-1;305;129.5;P2;
2023-09-04T16:49:45;-7.185325;112.686045;0;-1;305;129.5;P2;
2023-09-04T16:52:40;-7.185316667;112.6860633;0;-1;305;129.5;P2;
2023-09-04T16:55:43;-7.185313333;112.6860617;0;-1;305;129.5;P2;
2023-09-04T16:58:41;-7.185313333;112.6860333;0;-1;305;129.5;P2;
2023-09-04T17:01:45;-7.185321667;112.68606;0;-1;305;129.5;P2;
2023-09-04T17:04:40;-7.185308333;112.6860183;0;-1;305;129.5;P2;
2023-09-04T17:07:44;-7.185308333;112.6860167;0;-1;305;129.5;P2;
2023-09-04T17:10:45;-7.185316667;112.68605;0;-1;305;129.5;P2;
2023-09-04T17:13:45;-7.18532;112.6860583;0;-1;305;129.5;P2;
2023-09-04T17:16:44;-7.185328333;112.6860433;0;-1;305;129.5;P2;
2023-09-04T17:19:44;-7.185325;112.6860333;0;-1;306;129.5;P2;
2023-09-04T17:22:41;-7.18531;112.686;0;-1;306;129.5;P2;
2023-09-04T17:25:43;-7.185303333;112.6860133;0;-1;306;129.5;P2;
2023-09-04T17:28:44;-7.18532;112.6860467;0;-1;306;129.5;P2;
2023-09-04T17:31:43;-7.185331667;112.6860517;0;-1;306;129.5;P2;
2023-09-04T17:34:44;-7.185323333;112.6860033;0;-1;306;129.5;P2;
2023-09-04T17:37:42;-7.185293333;112.686005;0;-1;306;129.5;P2;
2023-09-04T17:40:43;-7.18532;112.68604;0;-1;305;129.5;P2;
2023-09-04T17:43:44;-7.185331667;112.686005;0;-1;305;129.5;P2;
2023-09-04T17:46:44;-7.185325;112.6859617;0;-1;305;129.5;P2;
2023-09-04T17:52:41;-7.185298333;112.6859617;0;-1;305;129.5;P2;
2023-09-04T17:55:45;-7.185305;112.6860217;0;-1;305;129.5;P2;
2023-09-04T17:58:44;-7.185315;112.68598;0;-1;305;129.5;P2;
2023-09-04T18:01:44;-7.185341667;112.6860683;0;-1;305;129.5;P2;
2023-09-04T18:04:43;-7.185311667;112.6859917;0;-1;305;129.5;P2;
2023-09-04T18:07:40;-7.185323333;112.6860167;0;-1;306;129.5;P2;
2023-09-04T18:10:43;-7.185301667;112.6859917;0;-1;306;129.5;P2;
